NAME,CLUB,LEAGUE,POSITION,TIER
Thomas Müller,Bayern München,Germany 1. Bundesliga,CAM,Gold
James Rodríguez,Real Madrid,Spain Primera Division,CAM,Gold
Bastian Schweinsteiger,Chicago Fire,USA Major League Soccer,CM,Gold
Piqué,FC Barcelona,Spain Primera Division,CB,Gold
Marco Reus,Borussia Dortmund,Germany 1. Bundesliga,CAM,Gold
Diego Godín,Inter,Italy Serie A,CB,Gold
Paulo Dybala,Piemonte Calcio,Italy Serie A,CAM,Gold
Sadio Mané,Liverpool,England Premier League,LW,Gold
David Silva,Manchester City,England Premier League,CAM,Gold
Raheem Sterling,Manchester City,England Premier League,RW,Gold
Edinson Cavani,Paris Saint-Germain,France Ligue 1,ST,Gold
Toni Kroos,Real Madrid,Spain Primera Division,CM,Gold
Christian Eriksen,Tottenham Hotspur,England Premier League,CAM,Gold
Thiago Silva,Paris Saint-Germain,France Ligue 1,CB,Gold
Javier Zanetti,Icons,Icons,RB,Gold
Patrick Vieira,Icons,Icons,CM,Gold
Andriy Shevchenko,Icons,Icons,ST,Gold
Frank Lampard,Icons,Icons,CM,Gold
Alessandro Nesta,Icons,Icons,CB,Gold
Lothar Matthäus,Icons,Icons,CB,Gold
Paolo Maldini,Icons,Icons,LB,Gold
George Best,Icons,Icons,RW,Gold
Luís Figo,Icons,Icons,CAM,Gold
Roy Keane,Icons,Icons,CM,Gold
Rui Costa,Icons,Icons,CAM,Gold
Frank Rijkaard,Icons,Icons,CB,Gold
Robert Pirès,Icons,Icons,LM,Gold
Emmanuel Petit,Icons,Icons,CDM,Gold
Michael Owen,Icons,Icons,ST,Gold
Marc Overmars,Icons,Icons,LW,Gold
Jari Litmanen,Icons,Icons,CAM,Gold
Patrick Kluivert,Icons,Icons,ST,Gold
Rio Ferdinand,Icons,Icons,CB,Gold
Marcel Desailly,Icons,Icons,CDM,Gold
Christian Vieri,Icons,Icons,ST,Gold
Hidetoshi Nakata,Icons,Icons,CAM,Gold
Franco Baresi,Icons,Icons,CB,Gold
Raúl,Icons,Icons,CF,Gold
Juan Sebastián Verón,Icons,Icons,CM,Gold
Clarence Seedorf,Icons,Icons,CM,Gold
Dries Mertens,Napoli,Italy Serie A,ST,Gold
Karim Benzema,Real Madrid,Spain Primera Division,ST,Gold
Andrea Pirlo,Icons,Icons,CM,Gold
Ronald Koeman,Icons,Icons,CB,Gold
Roberto Carlos,Icons,Icons,LB,Gold
Edinson Cavani,Paris Saint-Germain,France Ligue 1,ST,Gold
Paul Pogba,Manchester United,England Premier League,CM,Gold
Raheem Sterling,Manchester City,England Premier League,RW,Gold
Toni Kroos,Real Madrid,Spain Primera Division,CM,Gold
David Silva,Manchester City,England Premier League,CAM,Gold
Piqué,FC Barcelona,Spain Primera Division,CB,Gold
Christian Eriksen,Tottenham Hotspur,England Premier League,CAM,Gold
Sadio Mané,Liverpool,England Premier League,LW,Gold
Pierre-Emerick Aubame...,Arsenal,England Premier League,ST,Gold
Diego Godín,Inter,Italy Serie A,CB,Gold
Marco Reus,Borussia Dortmund,Germany 1. Bundesliga,CAM,Gold
Paulo Dybala,Piemonte Calcio,Italy Serie A,CAM,Gold
Serge Gnabry,Bayern München,Germany 1. Bundesliga,RM,Gold
Juan Mata,Manchester United,England Premier League,CAM,Gold
Ciro Immobile,Lazio,Italy Serie A,ST,Gold
Marquinhos,Paris Saint-Germain,France Ligue 1,CB,Gold
Matteo Politano,Inter,Italy Serie A,RM,Gold
Javier Mascherano,Hebei China Fortune,China Super League,CDM,Gold
Ángel Di María,Paris Saint-Germain,France Ligue 1,RW,Gold
Parejo,Valencia CF,Spain Primera Division,CM,Gold
Mesut Özil,Arsenal,England Premier League,CAM,Gold
Iago Aspas,RC Celta de Vigo,Spain Primera Division,ST,Gold
Ángel Di María,Paris Saint-Germain,France Ligue 1,RW,Gold
Parejo,Valencia CF,Spain Primera Division,CM,Gold
Edin Džeko,Roma,Italy Serie A,ST,Gold
Dele Alli,Tottenham Hotspur,England Premier League,CAM,Gold
Miralem Pjanić,Piemonte Calcio,Italy Serie A,CM,Gold
Miralem Pjanić,Piemonte Calcio,Italy Serie A,CM,Gold
Ciro Immobile,Lazio,Italy Serie A,ST,Gold
Marco Verratti,Paris Saint-Germain,France Ligue 1,CM,Gold
Ciro Immobile,Lazio,Italy Serie A,ST,Gold
Marco Verratti,Paris Saint-Germain,France Ligue 1,CM,Gold
Carlos Alberto,Icons,Icons,CB,Gold
Jordi Alba,FC Barcelona,Spain Primera Division,LB,Gold
